"id_cat","categorie","id_track","nom_track","id_art","nom_art","id_album","nom_album","date_album"
34,"electronic","3OaunNUlXXs5e2PXtNAzzG","UCLA","4isewEHTP7Az2QheDdBQ6J","24hrs","7GpuEZzRrPT4IGiEuWaBzy","NOVA","2018-07-27"
34,"electronic","4w8niZpiMy6qz1mntFA5uM","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4kYSro6naA4h99UJvo89HB","Cardi B","0ZHyvPke0EcVt6rYA8Ins3","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","2018-09-28"
35,"emo","5TXDeTFVRVY7Cvt0Dw4vWW","Revenge","15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","5VdyJkLe3yvOs0l4xXbWp0",17,"2017-08-25"
35,"emo","6Ox1rvlwEpB49drasQm6RF","Star Shopping","2kCcBybjl3SAtIcwdWpUe3","Lil Peep","48dH5WaD1L379zPQt6LMDD","Star Shopping",2015
35,"emo","4k3xDpAdBuM17mNNHhOZkK","nuts","080kPbQFzomkrfHW8U4XkZ","rainy bear","4hiArqU343m8BUT0lymyLO","LIVE FOREVER","2022-12-02"
35,"emo","6SpLc7EXZIPpy0sVko0aoU","Misery Business","74XFHRwlV6OrjEM0A2NCMF","Paramore","71rziY9eLo1tA2dBMxrwhc","Riot!","2007-06-11"
35,"emo","7AQim7LbvFVZJE3O8TYgf2","Fuck Love","6Xgp2XMz1fhVYe7i6yNAax","Trippie Redd","5VdyJkLe3yvOs0l4xXbWp0",17,"2017-08-25"
35,"emo","7m9OqQk4RVRkw9JJdeAw96","Jocelyn Flores","15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","5VdyJkLe3yvOs0l4xXbWp0",17,"2017-08-25"
35,"emo","6GG73Jik4jUlQCkKg9JuGO","The Middle","3Ayl7mCk0nScecqOzvNp6s","Jimmy Eat World","0UJhhj5bn5AGAjryFnhueP","Bleed American","2001-07-17"
35,"emo","2ZRo7axmMPeSVUvDbGkJah","Hope","15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2Ti79nwTsont5ZHfdxIzAm","?","2018-03-16"
35,"emo","2TfSHkHiFO4gRztVIkggkE","Sugar, We're Goin Down","4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","5nkUSlIhtoJZMOUlB0sNCp","From Under The Cork Tree","2005-05-03"
35,"emo","3GVkPk8mqxz0itaAriG1L7","Everybody Dies In Their Nightmares","15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","5VdyJkLe3yvOs0l4xXbWp0",17,"2017-08-25"
36,"folk","0QZ5yyl6B6utIWkxeBDxQN","The Night We Met","6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","3yoNZlqerJnsnMN5EDwwBS","Strange Trails","2015-04-07"
36,"folk","3JvrhDOgAt6p7K8mDyZwRd","Riptide","10exVja0key0uqUkk6LJRT","Vance Joy","5S9b8euumqMhQbMk0zzQdH","Dream Your Life Away (Special Edition)","2014-09-09"
36,"folk","3yrSvpt2l1xhsV9Em88Pul","Brown Eyed Girl","44NX2ffIYHr6D4n7RaZF7A","Van Morrison","7dsWupQRlFuhG8FGiQAUjC","Blowin' Your Mind!","1967-09"
36,"folk","6me7F0aaZjwDo6RJ5MrfBD","Evergreen","4qU7IJSReZnsLy5907Mtau","Richy Mitch & The Coal Miners","2weOG4ZiOjfxiuFMsHm9JQ","RMCM","2017-05-17"
36,"folk","2L9N0zZnd37dwF0clgxMGI","ceilings","1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","68L5xVV9wydotfDXEik7eD","five seconds flat","2022-04-08"
36,"folk","3d8y0t70g7hw2FOWl9Z4Fm","Ophelia","16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2zbTrm2pIAErzFSopinkbN","Cleopatra","2016-04-08"
36,"folk","0W4Kpfp1w2xkY3PrV714B7","Ho Hey","16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","6NWYmlHxAME5KXtxrTlUxW","The Lumineers","2012-04-03"
36,"folk","0V5cvmTKsYmF5FmGGEAfmS","Je te laisserai des mots","7bPs6jf983f0bjRAt1yxDM","Patrick Watson","7KPvATOyLVFbV6UR6DujF8","Je te laisserai des mots","2010-09-10"
36,"folk","1qRA5BS78u3gME0loMl9AA","For What It's Worth","3eskO5m0H4yiF64vRySBjr","Buffalo Springfield","3PkdGRruLnJ9zCtANiDrpB","Buffalo Springfield","1966-12-05"
36,"folk","1KxwZYyzWNyZSRyErj2ojT","Let Her Go","0gadJ2b9A4SKsB1RFkBb66","Passenger","52ukyDfkPmF4X6EcSYVfVJ","All The Little Lights","2012-08-28"
37,"forro","4C1zrTdEYE55CfWuYlYZ28","Não Deixa Eu Saber","3k68C6mNMJL6OaAdWeW2ZF","Diego & Victor Hugo","4VLUQTD9p8yXgqnS8oBqN3","Não Deixa Eu Saber","2023-07-20"
37,"forro","4SOZ0NCgelduUGMRHxvdzV","Só Me Usou","57VQCKnZ9nhS7bvoviXuZK","Kadu Martins","6f35i4VDZnljJSS9rK01Hd","Só Me Usou","2023-08-11"
37,"forro","7zme2HMHGmCuaiSTGuBAUn","Chance Boa","3OxZ4asD88P1lJJmLcXz4K","Márcia Fellipe","0lyrmwVpiDJiSC6RNusLfb","Chance Boa","2023-06-16"
37,"forro","6xRDvureEBwHgwAYDufbJL","Chorei na Vaquejada","48HORs6F9P7IgdyKrk4MZC","Tarcísio do Acordeon","3zkgXeNKtGuhk9yUgihh8z","Som de Paredão","2023-05-05"
37,"forro","35uPMtbq7v1L5z8j52BOSG","Ela É Linda","6xrc4RXcso9uKlYWlIANPU","Vitinho Imperador","0FO1Axe7IAeyK9vv6ZhGJX","Ela É Linda","2022-11-25"
37,"forro","4aFZiSRqkxC5sIbSDMWBE5","Rua - Ao Vivo em Bahamas","1AL2GKpmRrKXkYIcASuRFa","Wesley Safadão","4Hw3MhjC2hg8bPc9eNhvJ5","Rua (Ao Vivo em Bahamas)","2023-07-13"
37,"forro","54u86CmMqGI1rRuULlTqaB","Toca o Trompete","3CIIaeZuFYrAD6PRVyuO4U","Felipe Amorim","4Vy1Rn4htx3L0ojjaeePww","Cadê o After? Pt. 1","2023-07-21"
37,"forro","5y7yYXNSsT89A27DQxbmUL","Covardia","2CKOmarVWvWqkNWUatHCex","Ana Castela","5Bqlwew4I7DSJ2nK0jR53u","Covardia","2023-03-30"
37,"forro","4f0aDk7HX37SfzerfznYlr","Lapada Dela - Ao Vivo","37mqXU98U5GmH5ZDtlHM1c","Matheus Fernandes","4rqK6xBQRRn9jBrHRQ3J2w","Confia (Ao Vivo)","2023-01-20"
37,"forro","3YNDiA83UVhb5hpi4WM5dk","Você Não Tem Saudade","48HORs6F9P7IgdyKrk4MZC","Tarcísio do Acordeon","0jqBB2P4B8Psie70p55rOx","Você Não Tem Saudade","2023-06-08"
38,"french","1eyzqe2QqGZUmfcPZtrIyt","Midnight City","63MQldklfxkjYDoUE4Tppz","M83","6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming",2011
